5	4.85	-1.24	2.13	2	2	22.27	185.06	0.24	12	0.95	1.987030	# LS tree differs in height | 
5	-3.54	3.51	2.71	2	3	35.29	124.11	0.97	17	0.47	1.992218	# LS tree differs in height | 
16	0.30	-3.50	5.38	2	2	27.72	161.24	0.35	10	1.26	1.994442	# LS tree differs in height | 
5	-1.81	0.42	4.91	2	3	38.68	121.97	0.66	11	0.45	1.997406	# LS tree differs in height | 
8	0.76	1.56	2.94	2	2	25.86	76.98	0.88	19	1.53	2.942308	# LS tree differs in height | LS tree intersects ground |
13	3.27	0.68	4.50	2	2	24.83	191.31	0.26	18	0.43	0.945958	# 
7	4.81	1.42	3.47	3	2	20.49	162.42	0.29	18	1.90	1.850427	# LS tree differs in height | 
7	-3.96	2.33	3.17	3	3	35.34	81.54	0.58	12	1.73	1.905088	# LS tree intersects ground |
12	1.59	4.02	5.60	3	2	35.88	104.03	0.41	11	0.55	1.964087	# LS tree intersects ground |
7	-3.58	-0.98	2.59	3	2	35.99	140.92	0.51	13	1.39	1.964957	# LS tree intersects ground |
8	-2.41	-1.98	2.53	3	3	37.32	110.60	0.86	15	1.31	1.869231	# LS tree intersects ground |
5	2.56	-4.37	2.30	3	2	28.90	81.68	0.48	11	0.75	1.995677	# LS tree differs in height | 
7	-1.41	-4.32	2.74	2	3	25.43	151.37	0.34	14	1.75	1.877350	# LS tree intersects ground |
5	4.98	1.23	3.03	2	3	30.28	148.43	0.47	18	1.11	1.978623	# LS tree intersects ground |
10	-3.97	-3.42	4.75	3	3	39.51	99.64	0.78	14	0.75	1.956766	# LS tree intersects ground |
7	-3.32	1.61	5.63	3	2	31.70	118.62	0.72	17	0.53	0.987030	# 
9	-4.53	3.28	2.95	3	2	35.39	76.20	0.64	14	1.60	2.928632	# LS tree differs in height | LS tree intersects ground |
5	-1.49	-0.41	4.90	2	3	38.85	90.02	0.38	10	1.55	1.983326	# LS tree intersects ground |
7	-4.18	-0.17	4.29	2	3	35.11	75.77	0.75	15	1.27	1.918803	# LS tree intersects ground |
10	0.96	1.10	4.93	2	3	22.75	112.63	0.85	16	0.49	0.964548	# 
7	-1.29	4.93	5.82	2	2	37.95	60.21	0.64	17	0.43	1.995244	# LS tree differs in height | 
11	-0.84	3.00	3.37	3	2	24.52	115.06	0.76	17	0.26	1.984868	# LS tree differs in height | 
7	0.56	4.12	2.41	3	3	21.57	185.93	0.93	17	1.58	1.814957	# LS tree differs in height | 
16	2.03	1.33	5.85	3	3	35.80	65.65	0.12	18	0.10	1.994812	# LS tree differs in height | 
5	-1.91	-2.61	2.60	2	2	34.42	128.22	0.49	12	0.20	1.998271	# LS tree differs in height | 
12	-2.11	3.70	4.07	3	3	24.51	109.18	0.15	14	0.68	0.994380	# 
5	0.89	-0.88	2.92	3	2	30.71	165.24	0.28	11	1.07	1.990056	# LS tree differs in height | 
18	1.91	0.65	4.38	2	2	24.45	60.11	0.26	16	0.14	1.993947	# LS tree differs in height | 
6	2.04	4.31	3.54	3	2	27.11	80.99	0.35	10	0.47	1.996109	# LS tree differs in height | 
